id,title,title_general,definition,contributor,timestamps
1,"Not my circus, not my monkeys","Not my circus, not my monkeys","This troublesome, burdensome, or volatile situation is none of my concern, and thus I refuse to get involved in it. A loan translation of the Polish idiom ",Eve,2023-07-13 00:00:01
2,Waiting with baited breath,Wait with bated breath,To remain in a state of eager anticipation (of or for something). ,Eve,2023-07-13 00:00:02
4,People in glass houses shouldn’t throw stones,People (who live) in glass houses shouldn't throw stones.,"People who are vulnerable to criticism should not criticize others, especially not for the faults that they themselves have (since such criticism will likely be returned).",,2023-07-13 00:00:04
5,Don’t look a gift horse in the mouth,Don't look a gift horse in the mouth,"If you receive a gift, do so graciously, without voicing criticisms. The saying is attributed to St. Jerome and refers to the practice of looking at a horse''s teeth to determine its age. ",,2023-07-13 00:00:05
6,Don’t count your chickens before they hatch,Don't count your chickens before they hatch.,"Don''t make plans based on future events, outcomes, or successes that might not come to pass. ",,2023-07-13 00:00:06
7,Don’t keep all your eggs in one basket,put all (one's) eggs in one basket,"To invest, devote, or commit all of one''s energy or resources into a single venture, opportunity, or goal, generally at the risk of losing everything in the event that that thing fails or does not come to fruition.",,2023-07-13 00:00:07
8,A bird in the hand is worth two in the bush,A bird in the hand is worth two in the bush,It is better to have something less valuable than to pursue something more valuable that may not be able to be obtained. ,,2023-07-13 00:00:08
9,There’s more than one way to skin a cat,There's more than one way to skin a cat,There are many methods one may employ in achieving one's ends. ,Miles,2023-07-13 00:00:09
11,Open a can of worms,Open (up) a can of worms,"To initiate, instigate, or reveal a situation that is or is likely to become very complicated or problematic or that will have a negative outcome. ",,2023-07-13 00:00:11
12,Bull in a china shop,A bull in a china shop,Someone who is aggressively reckless and clumsy in a situation that requires delicacy and care. ,Miles,2023-07-13 00:00:12
13,One trick pony,A one-trick pony,"A person, group, or thing that is known for or limited to only one unique or noteworthy skill, talent, ability, quality, area of success, etc. ",,2023-07-13 00:00:13
